surname,forename,player_name,ssn,season,disam_name
Aldridge,John,John Aldridge,1997,1997/98,Aldridge
Branch,Graham,Graham Branch,1997,1997/98,Branch
Challinor,Dave,Dave Challinor,1997,1997/98,Challinor
Cook,Paul,Paul Cook,1997,1997/98,Cook
Coyne,Danny,Danny Coyne,1997,1997/98,Coyne
Frail,Stephen,Stephen Frail,1997,1997/98,Frail
Hill,Clint,Clint Hill,1997,1997/98,Hill
Irons,Kenny,Kenny Irons,1997,1997/98,Irons
Jones,Gary,Gary Jones,1997,1997/98,Jones G
Jones,Lee,Lee Jones,1997,1997/98,Jones L
Kelly,David,David Kelly,1997,1997/98,Kelly
Kubicki,Dariusz,Dariusz Kubicki,1997,1997/98,Kubicki
Mahon,Alan,Alan Mahon,1997,1997/98,Mahon
McGreal,John,John McGreal,1997,1997/98,McGreal
McIntyre,Kevin,Kevin McIntyre,1997,1997/98,McIntyre
Mellon,Micky,Micky Mellon,1997,1997/98,Mellon
Morgan,Alan,Alan Morgan,1997,1997/98,Morgan
Morrissey,Johnny,Johnny Morrissey,1997,1997/98,Morrissey
O'Brien,Liam,Liam O'Brien,1997,1997/98,O'Brien
Parkinson,Andy,Andy Parkinson,1997,1997/98,Parkinson
Simonsen,Steve,Steve Simonsen,1997,1997/98,Simonsen
Stevens,Gary,Gary Stevens,1997,1997/98,Stevens
Thompson,Andy,Andy Thompson,1997,1997/98,Thompson
Thorn,Andy,Andy Thorn,1997,1997/98,Thorn
